"","district","weekstartdate","anycases","totalcases","est"
"19237","brown",2011-08-28,0,0,0.356806996893048
"19238","brown",2011-09-04,0,0,0.299360007717337
"19239","brown",2011-09-11,0,0,0.220332183071509
"19240","brown",2011-09-18,0,0,0.126348485196656
"19241","brown",2011-09-25,0,0,0.0642417339932393
"19242","mcpherson",2011-01-02,0,0,1.17840529118625e-08
"19243","mcpherson",2011-01-09,0,0,7.36990093501882e-09
"19244","mcpherson",2011-01-16,0,0,4.89655950985391e-09
"19245","mcpherson",2011-01-23,0,0,3.05265081836907e-09
"19246","mcpherson",2011-01-30,0,0,4.26691224111533e-09
"19247","mcpherson",2011-02-06,0,0,4.80496056888047e-09
"19248","mcpherson",2011-02-13,0,0,6.02377401867494e-09
"19249","brown",2011-12-04,0,0,2.98834354991406e-05
"19250","brown",2011-12-11,0,0,1.092148901502e-05
"19251","brown",2011-12-18,0,0,6.43962716375876e-06
"19252","brown",2011-12-25,0,0,4.35690247744014e-06
"19253","mcpherson",2011-04-03,0,0,3.70921012791334e-07
"19254","mcpherson",2011-04-10,0,0,1.24589279394454e-06
"19255","mcpherson",2011-04-17,0,0,2.72243037216831e-06
"19256","mcpherson",2011-04-24,0,0,5.37530816635149e-06
"19257","mcpherson",2011-05-01,0,0,1.22156629620691e-05
"19258","mcpherson",2011-05-08,0,0,2.81074276731764e-05
"19259","hutchinson",2011-01-02,0,0,7.28583776562803e-08
"19260","hutchinson",2011-01-09,0,0,4.20928497029778e-08
"19261","hutchinson",2011-01-16,0,0,2.49050355255207e-08
"19262","hutchinson",2011-01-23,0,0,1.45675347477925e-08
"19263","hutchinson",2011-01-30,0,0,1.63927516303895e-08
"19264","hutchinson",2011-02-06,0,0,1.49758723955046e-08
"19265","hutchinson",2011-02-13,0,0,1.5368526891621e-08
"19266","hutchinson",2011-02-20,0,0,3.77528971918954e-08
"19267","hutchinson",2011-02-27,0,0,5.4045826320629e-08
"19268","hutchinson",2011-03-06,0,0,7.54267204758616e-08
"19269","hutchinson",2011-03-13,0,0,1.52309246270602e-07
"19270","mcpherson",2011-07-31,0,0,0.0305689420165929
"19271","mcpherson",2011-08-07,0,0,0.0380753758197252
"19272","mcpherson",2011-08-14,0,0,0.0389273848320796
"19273","mcpherson",2011-08-21,0,0,0.0382547281797192
"19274","mcpherson",2011-08-28,0,0,0.0322516630792581
"19275","mcpherson",2011-09-04,0,0,0.0245746804509241
"19276","mcpherson",2011-09-11,0,0,0.016890893890274
"19277","mcpherson",2011-09-18,0,0,0.0085485318020788
"19278","bonhomme",2011-01-16,0,0,1.64991660726811e-08
"19279","bonhomme",2011-01-23,0,0,9.93732731296679e-09
"19280","bonhomme",2011-01-30,0,0,1.15396159875246e-08
"19281","bonhomme",2011-02-06,0,0,1.04077739611866e-08
"19282","bonhomme",2011-02-13,0,0,1.09143253936818e-08
"19283","bonhomme",2011-02-20,0,0,2.82693268941126e-08
"19284","bonhomme",2011-02-27,0,0,3.88502845601594e-08
"19285","bonhomme",2011-03-06,0,0,5.53207895853963e-08
"19286","bonhomme",2011-03-13,0,0,1.09073966128462e-07
"19287","bonhomme",2011-03-20,0,0,3.69397043657641e-07
"19288","mcpherson",2011-12-04,0,0,1.82856755120987e-06
"19289","mcpherson",2011-12-11,0,0,6.42414378281687e-07
"19290","mcpherson",2011-12-18,0,0,3.57446671014569e-07
"19291","mcpherson",2011-12-25,0,0,2.45481615992271e-07
"19292","douglas",2011-04-03,0,0,1.04441498626517e-06
"19293","douglas",2011-04-10,0,0,3.12166914631482e-06
